,dates,polarity
155,2012-07-01,0.1562355658674152
156,2012-07-02,0.1628114278608597
157,2012-07-03,0.16768323833573834
158,2012-07-04,0.10178760264352635
159,2012-07-05,0.20024187538651822
160,2012-07-06,0.12725612928737928
161,2012-07-07,0.1385283567034622
162,2012-07-08,0.12437192234848485
163,2012-07-09,0.16138695436507938
164,2012-07-10,0.17540945165945168
165,2012-07-11,0.14947666430791431
166,2012-07-12,0.11886001255688755
167,2012-07-13,0.11225251623376624
168,2012-07-14,0.144747310813391
169,2012-07-15,0.0799710252025067
170,2012-07-16,0.11349628066378066
171,2012-07-17,0.18929017695267697
172,2012-07-18,0.19476771284271283
173,2012-07-19,0.13205174062049063
174,2012-07-20,0.10358793612141826
175,2012-07-21,0.12620993699613609
176,2012-07-22,0.11871702245378389
